benchmark,combo_label,block,cpu_level,other_level,n,baseline_E_J,cpu_only_dE_pct,other_only_dE_pct,predicted_dE_pct,measured_dE_pct,residual_dE_pct,predicted_dt_pct,measured_dt_pct,residual_dt_pct,status
cpu-dgemm,C_cpu3.5_unc2.3,C_cpu_x_uncore_grid,lit_3_5GHz,lit_2_3GHz,90,13098,-1.0,+1.7,+0.7,-3.4,-4.1,-0.8,-1.6,-0.8,ok
dgemm-gpu,B_cpu1.0_gpu0.4,B_cpu_x_gpu_grid,lit_1_0GHz,lit_0_4GHz,60,43509,-34.5,+91.9,+57.4,+62.0,+4.7,+209.6,+210.0,+0.4,ok
dgemm-gpu,B_cpu1.0_gpu1.0,B_cpu_x_gpu_grid,lit_1_0GHz,lit_1_0GHz,60,43509,-34.5,+8.3,-26.2,-22.7,+3.5,+24.8,+25.1,+0.3,ok
dgemm-gpu,B_cpu1.0_gpu1.6,B_cpu_x_gpu_grid,lit_1_0GHz,lit_1_6GHz,60,43509,-34.5,+0.1,-34.4,-34.9,-0.5,+0.1,+0.0,-0.1,ok
dgemm-gpu,B_cpu2.0_gpu0.4,B_cpu_x_gpu_grid,lit_2_0GHz,lit_0_4GHz,60,43509,-8.7,+91.9,+83.2,+83.1,-0.1,+209.9,+209.9,+0.0,ok
dgemm-gpu,B_cpu2.0_gpu1.0,B_cpu_x_gpu_grid,lit_2_0GHz,lit_1_0GHz,60,43509,-8.7,+8.3,-0.4,+0.4,+0.8,+25.1,+25.0,-0.1,ok
dgemm-gpu,B_cpu2.0_gpu1.6,B_cpu_x_gpu_grid,lit_2_0GHz,lit_1_6GHz,60,43509,-8.7,+0.1,-8.6,-9.4,-0.9,+0.4,-0.1,-0.4,ok
dgemm-gpu,B_cpu3.5_gpu0.4,B_cpu_x_gpu_grid,lit_3_5GHz,lit_0_4GHz,60,43509,-0.1,+91.9,+91.8,+90.0,-1.8,+209.8,+209.9,+0.2,ok
dgemm-gpu,B_cpu3.5_gpu1.0,B_cpu_x_gpu_grid,lit_3_5GHz,lit_1_0GHz,60,43509,-0.1,+8.3,+8.2,+7.4,-0.8,+25.0,+25.0,+0.1,ok
dgemm-gpu,B_cpu3.5_gpu1.6,B_cpu_x_gpu_grid,lit_3_5GHz,lit_1_6GHz,60,43509,-0.1,+0.1,+0.0,-1.1,-1.1,+0.2,-0.1,-0.4,ok
