benchmark,combo_label,block,n,median_runtime_s,median_energy_j,mean_runtime_s,mean_energy_j,std_energy_j
dgemm-gpu,B_cpu1.0_gpu0.4,B_cpu_x_gpu_grid,60,44.7250,70505.45,44.2583,69798.13,5732.72
dgemm-gpu,B_cpu1.0_gpu1.0,B_cpu_x_gpu_grid,60,18.0465,33643.49,18.1110,33659.06,603.37
dgemm-gpu,B_cpu1.0_gpu1.6,B_cpu_x_gpu_grid,60,14.4262,28330.57,14.4529,28265.24,722.57
dgemm-gpu,B_cpu2.0_gpu0.4,B_cpu_x_gpu_grid,60,44.7123,79645.91,44.6985,80279.11,1666.16
dgemm-gpu,B_cpu2.0_gpu1.0,B_cpu_x_gpu_grid,60,18.0300,43703.13,18.1005,43788.89,598.34
dgemm-gpu,B_cpu2.0_gpu1.6,B_cpu_x_gpu_grid,60,14.4152,39399.18,14.4357,39429.17,453.38
dgemm-gpu,B_cpu3.5_gpu0.4,B_cpu_x_gpu_grid,60,44.7107,82677.02,44.7108,82870.80,1477.07
dgemm-gpu,B_cpu3.5_gpu1.0,B_cpu_x_gpu_grid,60,18.0362,46749.54,18.1015,46924.93,624.60
dgemm-gpu,B_cpu3.5_gpu1.6,B_cpu_x_gpu_grid,60,14.4078,43049.38,14.4316,43104.01,427.21
dgemm-gpu,C_cpu1.0_unc0.8,C_cpu_x_uncore_grid,150,14.4381,28349.26,14.4545,28536.16,908.81
dgemm-gpu,C_cpu1.0_unc1.6,C_cpu_x_uncore_grid,150,14.4253,28141.03,14.4449,28159.64,561.16
dgemm-gpu,C_cpu1.0_unc2.3,C_cpu_x_uncore_grid,139,14.4233,28190.99,14.4424,28169.03,542.89
dgemm-gpu,C_cpu2.0_unc0.8,C_cpu_x_uncore_grid,102,14.4142,36751.44,14.4249,36760.07,374.64
dgemm-gpu,C_cpu2.0_unc1.6,C_cpu_x_uncore_grid,90,14.4276,38275.21,14.4245,38253.46,353.04
dgemm-gpu,C_cpu2.0_unc2.3,C_cpu_x_uncore_grid,90,14.4210,39362.50,14.4291,39426.34,307.26
dgemm-gpu,C_cpu3.5_unc0.8,C_cpu_x_uncore_grid,90,14.4172,40498.96,14.4318,40530.05,325.75
dgemm-gpu,C_cpu3.5_unc1.6,C_cpu_x_uncore_grid,90,14.4102,41631.72,14.4325,41615.88,318.90
dgemm-gpu,C_cpu3.5_unc2.3,C_cpu_x_uncore_grid,90,14.4224,43092.50,14.4278,43069.50,323.16
dgemm-gpu,D_gpu0.4_pf0,D_gpu_x_pf_corners,90,44.4981,81886.94,44.5171,82052.82,1209.44
dgemm-gpu,D_gpu0.4_pf1,D_gpu_x_pf_corners,74,44.6017,83031.14,44.6099,83110.43,923.29
dgemm-gpu,D_gpu1.6_pf0,D_gpu_x_pf_corners,51,15.1681,45438.22,15.2699,45720.43,741.59
dgemm-gpu,D_gpu1.6_pf1,D_gpu_x_pf_corners,20,18.2905,51884.91,18.2913,51836.68,226.09
dgemm-gpu,E_cpu1.0_pl175,E_cpu_x_cpu_pl_corners,298,14.3917,28245.93,14.4326,28179.63,591.74
dgemm-gpu,E_cpu1.0_pl_default,E_cpu_x_cpu_pl_corners,301,14.3974,28458.17,14.4391,28511.30,717.13
dgemm-gpu,E_cpu3.5_pl175,E_cpu_x_cpu_pl_corners,1,14.3485,38449.48,14.3485,38449.48,0.00
dgemm-gpu,E_cpu3.5_pl_default,E_cpu_x_cpu_pl_corners,149,14.3610,42878.48,14.3935,42965.70,448.73
gpu-bursty-idle,A0_all_max,A_agent_arms,80,15.0179,37280.44,15.0179,37345.86,276.15
gpu-bursty-idle,A1_memory_bound_save,A_agent_arms,80,15.0652,18452.67,15.0628,18749.60,1513.33
gpu-bursty-idle,A2_gpu_compute_max,A_agent_arms,80,15.0211,23912.94,15.0214,23965.45,669.05
gpu-bursty-idle,A3_cpu_compute_uncore_save,A_agent_arms,80,15.0336,25666.09,15.0327,26035.54,2497.59
gpu-bursty-idle,A4_comm_wait_save,A_agent_arms,80,15.0677,17467.17,15.0667,17640.47,1532.00
gpu-bursty-idle,A5_comm_collective_safe,A_agent_arms,80,15.0323,27513.52,15.0304,27881.13,2555.94
gpu-bursty-idle,A6_bursty_gpu_idle,A_agent_arms,64,15.0644,21210.62,15.0631,21513.11,1976.39
gpu-bursty-idle,B_cpu1.0_gpu0.4,B_cpu_x_gpu_grid,60,15.0690,18349.23,15.0684,18632.61,2432.07
gpu-bursty-idle,B_cpu1.0_gpu1.0,B_cpu_x_gpu_grid,60,15.0590,17839.94,15.0587,18335.73,2251.89
gpu-bursty-idle,B_cpu1.0_gpu1.6,B_cpu_x_gpu_grid,60,15.0563,18321.68,15.0565,18761.10,2018.22
gpu-bursty-idle,B_cpu2.0_gpu0.4,B_cpu_x_gpu_grid,60,15.0327,24803.96,15.0326,25796.39,3251.13
gpu-bursty-idle,B_cpu2.0_gpu1.0,B_cpu_x_gpu_grid,60,15.0243,25649.20,15.0231,26579.73,3011.81
gpu-bursty-idle,B_cpu2.0_gpu1.6,B_cpu_x_gpu_grid,60,15.0212,27398.81,15.0208,28048.54,2478.08
gpu-bursty-idle,B_cpu3.5_gpu0.4,B_cpu_x_gpu_grid,60,15.0319,26998.53,15.0309,28139.09,3680.55
