benchmark,knob,level,n,median_runtime_s,median_energy_j,mean_runtime_s,mean_energy_j,std_energy_j
cpu-dgemm,BOARD_POWER_LIMIT_CONTROL,lit_3500W,50,23.3586,48011.39,23.4399,48431.12,3152.05
cpu-dgemm,BOARD_POWER_LIMIT_CONTROL,lit_4000W,50,23.1038,47695.87,23.6231,48826.23,4357.94
cpu-dgemm,BOARD_POWER_LIMIT_CONTROL,lit_4500W,50,23.1792,48001.09,23.7087,49225.63,4302.89
cpu-dgemm,BOARD_POWER_LIMIT_CONTROL,lit_5000W,50,23.2777,48242.33,23.5303,48634.88,3340.29
cpu-dgemm,BOARD_POWER_LIMIT_CONTROL,lit_5500W,50,23.4001,48668.84,23.8664,49523.87,3929.67
cpu-dgemm,BOARD_POWER_TIME_WINDOW_CONTROL,default,50,23.6001,48987.58,23.8036,49392.86,3358.14
cpu-dgemm,BOARD_POWER_TIME_WINDOW_CONTROL,rb_double,50,23.6791,49241.46,24.0121,49929.52,3838.61
cpu-dgemm,BOARD_POWER_TIME_WINDOW_CONTROL,rb_half,50,23.5805,48750.72,23.6671,49107.69,3467.05
cpu-dgemm,CPU_FREQUENCY_MAX_CONTROL,default,50,23.7672,49574.46,23.8978,49627.04,4549.69
cpu-dgemm,CPU_FREQUENCY_MAX_CONTROL,lit_1_0GHz,50,48.0096,86834.29,48.1744,86837.60,3261.17
cpu-dgemm,CPU_FREQUENCY_MAX_CONTROL,lit_1_2GHz,50,40.6723,74573.43,40.8786,74506.13,2876.55
cpu-dgemm,CPU_FREQUENCY_MAX_CONTROL,lit_1_6GHz,50,31.1190,58088.74,31.2104,58118.38,3051.01
cpu-dgemm,CPU_FREQUENCY_MAX_CONTROL,lit_2_0GHz,50,25.4092,50398.75,25.5496,50797.16,2408.19
cpu-dgemm,CPU_FREQUENCY_MAX_CONTROL,lit_2_5GHz,50,23.9358,48584.01,24.1705,49110.81,3486.94
cpu-dgemm,CPU_FREQUENCY_MAX_CONTROL,lit_3_0GHz,50,23.6003,48897.37,23.7293,48629.66,3237.02
cpu-dgemm,CPU_FREQUENCY_MAX_CONTROL,lit_3_5GHz,50,23.6062,49057.33,23.9645,49884.25,4228.14
