benchmark,knob,level,scaling_n,prod_n,scaling_dE_pct,prod_dE_pct,delta_dE_pct,scaling_dt_pct,prod_dt_pct,delta_dt_pct
babelstream,LEVELZERO::GPU_CORE_PERFORMANCE_FACTOR_CONTROL,lit_0_6,60,50,+0.8,+0.4,-0.4,+1.0,+0.5,-0.5
babelstream,LEVELZERO::GPU_CORE_PERFORMANCE_FACTOR_CONTROL,lit_0_8,60,50,+2.3,+1.7,-0.6,+2.3,+2.1,-0.1
babelstream,LEVELZERO::GPU_CORE_PERFORMANCE_FACTOR_CONTROL,lit_1_0,60,50,+5.2,+4.0,-1.2,+7.1,+7.1,-0.0
cpu-dgemm,BOARD_POWER_LIMIT_CONTROL,lit_2000W,60,50,-4.3,+113.8,+118.0,+25.5,+167.0,+141.6
cpu-dgemm,BOARD_POWER_LIMIT_CONTROL,lit_2500W,60,50,-2.6,-5.4,-2.8,-2.1,-3.4,-1.3
cpu-dgemm,BOARD_POWER_LIMIT_CONTROL,lit_3000W,60,50,+1.2,-2.1,-3.4,-0.2,-0.8,-0.6
cpu-dgemm,BOARD_POWER_LIMIT_CONTROL,lit_3500W,60,50,-0.6,-1.1,-0.5,-0.4,+0.1,+0.5
cpu-dgemm,BOARD_POWER_LIMIT_CONTROL,lit_4000W,60,50,-1.2,-1.7,-0.6,-0.2,-1.0,-0.8
cpu-dgemm,BOARD_POWER_LIMIT_CONTROL,lit_4500W,60,50,-0.2,-1.1,-0.9,-0.3,-0.7,-0.4
cpu-dgemm,BOARD_POWER_LIMIT_CONTROL,lit_5000W,60,50,+0.5,-0.6,-1.1,-0.4,-0.3,+0.1
cpu-dgemm,BOARD_POWER_LIMIT_CONTROL,lit_5500W,60,50,+0.1,+0.3,+0.2,-0.2,+0.3,+0.5
cpu-dgemm,BOARD_POWER_TIME_WINDOW_CONTROL,rb_double,60,50,+2.3,+1.5,-0.9,+1.8,+1.5,-0.4
cpu-dgemm,BOARD_POWER_TIME_WINDOW_CONTROL,rb_half,60,50,+2.9,+0.4,-2.4,+1.6,+1.0,-0.6
cpu-dgemm,CPU_FREQUENCY_MAX_CONTROL,lit_1_0GHz,60,50,+54.7,+78.9,+24.2,+102.2,+105.7,+3.5
cpu-dgemm,CPU_FREQUENCY_MAX_CONTROL,lit_1_2GHz,60,50,+32.5,+53.6,+21.2,+71.5,+74.3,+2.8
cpu-dgemm,CPU_FREQUENCY_MAX_CONTROL,lit_1_6GHz,60,50,+1.1,+19.7,+18.6,+30.9,+33.3,+2.5
cpu-dgemm,CPU_FREQUENCY_MAX_CONTROL,lit_2_0GHz,60,50,-9.3,+3.8,+13.1,+7.7,+8.9,+1.2
cpu-dgemm,CPU_FREQUENCY_MAX_CONTROL,lit_2_5GHz,60,50,-10.8,+0.1,+10.9,-0.6,+2.6,+3.2
cpu-dgemm,CPU_FREQUENCY_MAX_CONTROL,lit_3_0GHz,60,50,-7.8,+0.7,+8.6,-1.2,+1.1,+2.4
cpu-dgemm,CPU_FREQUENCY_MAX_CONTROL,lit_3_5GHz,60,50,-1.0,+1.1,+2.1,-0.1,+1.1,+1.2
cpu-dgemm,CPU_POWER_LIMIT_CONTROL,tdp_100,60,50,-2.2,-1.1,+1.0,-1.7,+0.2,+1.9
cpu-dgemm,CPU_POWER_LIMIT_CONTROL,tdp_30,60,50,+482.3,+563.8,+81.5,+670.4,+689.7,+19.3
cpu-dgemm,CPU_POWER_LIMIT_CONTROL,tdp_40,60,50,+487.9,+563.9,+76.1,+668.7,+689.2,+20.5
cpu-dgemm,CPU_POWER_LIMIT_CONTROL,tdp_50,60,50,+718.5,+601.7,-116.8,+613.0,+642.0,+29.0
cpu-dgemm,CPU_POWER_LIMIT_CONTROL,tdp_60,60,50,+202.2,+164.7,-37.5,+171.0,+174.0,+3.1
cpu-dgemm,CPU_POWER_LIMIT_CONTROL,tdp_70,60,50,+103.8,+81.3,-22.5,+85.4,+85.7,+0.3
cpu-dgemm,CPU_POWER_LIMIT_CONTROL,tdp_80,60,50,+52.7,+38.2,-14.5,+42.0,+40.5,-1.4
cpu-dgemm,CPU_POWER_LIMIT_CONTROL,tdp_90,60,50,+21.1,+14.3,-6.8,+16.3,+15.0,-1.3
cpu-dgemm,CPU_POWER_TIME_WINDOW_CONTROL,rb_double,60,50,-0.4,+1.7,+2.1,-0.5,+1.8,+2.3
cpu-dgemm,CPU_POWER_TIME_WINDOW_CONTROL,rb_half,60,50,+2.4,+1.2,-1.2,+2.1,+0.5,-1.5
cpu-dgemm,CPU_UNCORE_FREQUENCY_MAX_CONTROL,lit_0_8GHz,60,50,-16.4,-9.5,+6.8,-5.1,-5.9,-0.8
